Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Female,26,3.1540296924708375,Offline,3.4722805176635183,50.0,Family,3.89,3.36,80
Male,20,3.0,Offline,2.0,10.0,Family,3.68,3.68,24000
Male,19,1.5,Online,3.0,100.0,Family,2.760508706467662,3.201095977596741,20000
Male,19,5.0,Offline,2.0,98.0,Family,2.93,2.93,35000
Male,20,4.0,Online,2.0,100.0,Family,3.81,3.81,50000
Female,19,3.1540296924708375,Offline,3.4722805176635183,98.0,Family,3.37,0.0,25000
Male,19,3.0,Offline,3.0,100.0,Family,3.25,3.25,207239
Male,20,3.0,Online,3.0,85.0,Family,2.89,2.89,30000
Male,22,2.0,Offline,3.0,95.0,Bachelor,1.62,1.45,40000
Male,20,2.0,Offline,4.0,98.0,Family,3.73,0.0,35000
Male,20,3.1540296924708375,Offline,1.0,90.0,Bachelor,3.18,3.201095977596741,25000
Female,22,5.0,Offline,4.0,99.0,Family,3.5,3.7,30000
Male,19,0.5,Online,2.0,90.0,Bachelor,2.9,2.9,60000
Male,18,6.0,Offline,2.0,95.0,Family,3.48,3.48,25000
Male,20,0.5,Offline,4.0,95.0,Family,3.6,3.6,25000
Male,21,2.0,Online,2.0,90.0,Bachelor,3.13,3.17,40000
Male,21,3.0,Online,2.0,90.0,Bachelor,2.760508706467662,1.42,50000
Male,19,2.0,Offline,1.0,88.33627450980393,Family,3.13,3.13,40000
Male,20,3.0,Online,2.0,100.0,Bachelor,3.85,3.85,30000
Male,21,4.0,Online,1.0,100.0,Family,3.6,3.6,32500
Female,18,2.0,Online,1.0,100.0,Family,3.54,0.0,14000
Male,20,1.0,Offline,4.0,88.33627450980393,Bachelor,3.54,3.55,207239
Male,19,3.0,Online,4.0,95.0,Bachelor,2.1,2.1,10000
Male,20,3.0,Offline,5.0,90.0,Bachelor,2.5,2.5,25000
Male,24,8.0,Offline,1.0,90.0,Bachelor,3.31,3.76,30000
Male,21,1.0,Online,4.0,80.0,Bachelor,3.75,0.0,50000
Male,21,6.0,Online,2.0,98.0,Bachelor,3.7,3.7,25000
Male,21,3.0,Online,1.0,97.0,Bachelor,3.5,0.0,33000
Female,20,3.0,Offline,4.0,90.0,Family,3.7,3.7,60000
Male,20,3.0,Offline,3.0,70.0,Bachelor,3.24,3.24,40000
Female,22,2.0,Offline,2.0,99.0,Family,2.3,2.8,60000
Female,22,2.0,Offline,3.0,70.0,Family,3.87,3.6,70000
Male,22,3.0,Offline,4.0,37.0,Family,3.24,3.5,20000
Male,19,3.1540296924708375,Offline,3.4722805176635183,85.0,Family,3.65,3.201095977596741,207239
Male,21,3.1540296924708375,Offline,3.0,80.0,Bachelor,3.52,3.5,25000
Male,20,3.0,Offline,2.0,95.0,Bachelor,2.73,2.73,21000
Male,24,3.0,Offline,1.0,90.0,Family,3.79,3.88,13000
Female,23,2.0,Offline,1.0,70.0,Bachelor,3.96,3.91,30000
Female,20,5.0,Online,2.0,90.0,Family,2.760508706467662,3.201095977596741,60000
Female,21,7.0,Offline,30.0,100.0,Family,3.4,3.4,15000
Female,22,3.1540296924708375,Online,3.4722805176635183,90.0,Family,3.49,3.39,20
Male,23,6.0,Online,1.0,100.0,Family,3.85,3.85,30000
Male,21,4.0,Offline,1.0,90.0,Family,2.02,2.4,35
Female,26,3.1540296924708375,Offline,3.4722805176635183,50.0,Family,3.89,3.38,80000
Male,22,2.0,Online,1.0,90.0,Family,3.93,3.93,55000
Female,20,5.0,Offline,2.0,99.0,Family,3.9,0.0,20000
Male,20,3.0,Offline,3.0,95.0,Bachelor,3.47,3.47,30000
Female,20,2.5,Offline,2.5,90.0,Family,3.7,3.201095977596741,30000
Male,20,3.1540296924708375,Offline,2.0,100.0,Family,3.45,0.0,20000
Male,22,3.0,Offline,2.0,98.0,Family,3.73,3.73,75000
Male,21,4.0,Online,2.0,95.0,Bachelor,3.73,3.68,35000
Female,22,3.0,Online,1.0,95.0,Bachelor,3.65,0.0,20000
Female,21,4.0,Offline,3.0,100.0,Family,3.45,3.201095977596741,35000
Male,21,4.0,Offline,3.0,100.0,Bachelor,2.58,3.201095977596741,35000
Female,20,3.1540296924708375,Online,3.4722805176635183,98.0,Bachelor,1.87,3.5,20000
Male,21,1.0,Offline,2.0,93.0,Family,0.0,0.0,40000
Female,20,4.0,Online,1.0,98.0,Family,3.96,3.99,25000
Male,22,4.0,Online,1.0,90.0,Family,3.68,3.73,207239
Male,20,5.0,Offline,10.0,50.0,Bachelor,0.35,2.3,50000
Male,22,4.0,Offline,4.0,90.0,Family,2.04,2.86,50000
Male,21,0.0,Offline,2.0,100.0,Family,3.74,3.67,30000
Female,21,3.1540296924708375,Offline,3.4722805176635183,95.0,Bachelor,3.75,3.75,200000
Female,22,2.0,Offline,1.0,90.0,Bachelor,3.3,3.26,50000
Male,23,5.0,Offline,4.0,98.0,Bachelor,3.72,3.45,25000
Male,24,4.0,Offline,3.4722805176635183,88.0,Bachelor,3.21,3.201095977596741,40000
Female,21,1.0,Offline,3.4722805176635183,100.0,Family,3.64,3.65,60000
Female,22,3.1540296924708375,Offline,5.0,90.0,Family,2.86,3.42,50000
Male,22,4.0,Offline,1.0,90.0,Family,3.78,3.88,30000
Male,24,5.0,Offline,5.0,99.0,Bachelor,2.66,2.76,50000
Female,21,2.0,Offline,3.4722805176635183,90.0,Family,3.04,2.87,100000
Male,20,3.1540296924708375,Offline,3.4722805176635183,80.0,Family,1.76,2.55,35000
Male,22,3.0,Online,2.0,98.0,Family,3.15,3.71,5000
Male,22,2.0,Offline,1.0,100.0,Bachelor,4.0,3.62,50000
Female,20,3.0,Offline,2.0,100.0,Family,3.58,3.58,45000
Male,21,6.0,Offline,3.4722805176635183,88.33627450980393,Family,3.4,3.4,30000
Male,22,2.0,Online,16.0,78.0,Family,2.44,2.77,30000
Male,22,6.0,Online,1.0,97.0,Family,3.94,3.91,40000
Male,24,0.5,Offline,0.5,80.0,Bachelor,3.0,2.85,50
Female,21,1.0,Offline,3.0,85.0,Family,3.32,3.27,50000
Male,22,2.0,Offline,3.4722805176635183,90.0,Family,2.8,2.8,30000
Female,22,3.0,Offline,3.0,99.0,Bachelor,3.39,3.33,40000
Male,20,1.0,Online,2.0,95.0,Bachelor,4.0,4.0,40
Female,26,1.0,Online,1.0,100.0,Family,3.2,3.44,40000
Female,21,2.0,Offline,2.0,88.33627450980393,Bachelor,3.31,2.9,20000
Male,23,3.1540296924708375,Online,3.4722805176635183,80.0,Family,2.96,3.06,17500
Male,20,3.0,Offline,4.5,100.0,Family,3.68,3.68,35000
Female,20,4.0,Online,6.0,100.0,Family,0.0,3.78,4000
Male,21,4.0,Offline,1.0,95.0,Bachelor,3.87,3.68,15000
Male,21,10.0,Offline,1.0,95.0,Family,2.760508706467662,2.47,40
Male,21,3.0,Offline,3.4722805176635183,100.0,Family,3.9,3.9,20000
Male,24,2.0,Online,2.0,90.0,Family,2.65,2.97,207239
Male,22,2.0,Offline,3.0,100.0,Bachelor,3.29,3.65,100
Female,20,3.1540296924708375,Online,3.4722805176635183,97.0,Family,3.14,3.62,48400
Male,24,3.1540296924708375,Offline,8.0,80.0,Family,3.15,3.39,30000
Female,21,2.0,Online,2.0,100.0,Family,3.46,3.55,80000
Female,22,1.5,Online,3.5,99.0,Family,3.32,3.17,40000
Female,21,3.5,Offline,4.0,95.0,Family,3.21,3.36,25000
Male,19,5.5,Offline,1.0,100.0,Bachelor,3.93,3.93,15000
Male,24,6.0,Offline,1.0,90.0,Family,3.94,3.76,40000
Female,22,4.0,Online,3.0,95.0,Bachelor,2.87,2.31,200000
Male,21,3.0,Offline,2.0,100.0,Bachelor,3.31,3.27,30000
Female,19,5.0,Online,1.0,99.0,Family,4.0,4.0,35000
Male,20,0.0,Offline,3.4722805176635183,100.0,Bachelor,4.6,4.6,20000
Male,20,1.0,Online,3.4722805176635183,75.0,Bachelor,2.08,2.68,50000
Female,22,6.0,Offline,3.4722805176635183,80.0,Family,2.62,2.64,5
Male,19,2.0,Offline,12.0,100.0,Bachelor,3.89,3.89,35000
Female,23,2.0,Offline,20.0,70.0,Family,2.75,2.88,70000
Male,22,5.0,Online,2.0,98.0,Family,4.0,3.97,30000
Male,22,3.0,Online,2.0,95.0,Bachelor,3.57,3.57,40000
Female,22,3.1540296924708375,Offline,2.0,98.0,Bachelor,3.19,3.41,0
Male,23,3.1540296924708375,Offline,1.0,99.0,Bachelor,3.6,3.9,21940
Female,20,6.0,Offline,6.0,85.0,Family,2.88,2.88,100000
Male,20,3.0,Offline,6.0,90.0,Bachelor,2.74,2.74,20000
Female,20,5.0,Offline,3.0,50.0,Family,1.41,2.55,10000
Female,22,5.0,Offline,3.0,100.0,Bachelor,3.42,3.32,40000000
Female,22,5.0,Offline,3.0,99.0,Bachelor,3.1,3.08,40000
Male,21,1.0,Online,3.4722805176635183,90.0,Bachelor,3.96,3.86,120000
Male,20,3.0,Online,2.0,70.0,Bachelor,3.29,3.29,37500
Female,22,3.0,Offline,3.0,100.0,Family,3.75,3.75,50000
Female,21,5.0,Offline,2.0,100.0,Bachelor,3.66,3.8,50000
Female,20,2.0,Offline,1.0,97.0,Family,2.760508706467662,3.201095977596741,45000
Male,21,3.1540296924708375,Offline,1.0,90.0,Bachelor,3.88,3.71,30000
Male,22,2.0,Online,1.0,90.0,Bachelor,4.0,3.89,30000
Male,21,2.0,Offline,2.0,90.0,Bachelor,2.760508706467662,3.201095977596741,15000
Male,25,2.0,Online,3.0,90.0,Family,2.4,2.41,25
Female,20,2.0,Offline,3.4722805176635183,90.0,Bachelor,2.760508706467662,2.67,25000
Female,22,4.0,Offline,3.0,80.0,Family,2.86,2.86,50000
Male,20,1.0,Online,2.0,80.0,Bachelor,2.63,3.07,25000
Female,21,3.0,Online,1.0,96.0,Family,3.48,3.74,20000
Male,19,1.0,Offline,4.5,99.0,Family,3.75,3.75,30000
Male,21,2.0,Offline,1.0,95.0,Family,3.94,3.88,30000
Female,21,2.0,Offline,5.0,100.0,Family,0.0,0.0,40000
Female,20,2.0,Offline,2.0,99.0,Family,4.0,4.0,207239
Female,21,2.0,Offline,2.0,80.0,Family,3.5,3.63,90000
Male,19,3.1540296924708375,Online,2.0,85.0,Family,1.91,1.75,300000
Male,20,3.1540296924708375,Offline,3.4722805176635183,90.0,Family,3.85,3.85,30000
Male,22,1.0,Offline,2.0,95.0,Bachelor,1.97,2.77,40000
Male,20,2.0,Offline,3.4722805176635183,98.0,Family,3.51,3.51,40000
Male,21,3.0,Offline,2.0,95.0,Bachelor,3.85,3.85,20
Female,20,3.0,Offline,5.0,90.0,Family,4.0,4.0,50000
Male,19,4.0,Offline,45.0,90.0,Bachelor,3.21,3.21,40000
Female,22,3.0,Offline,2.0,95.0,Family,3.15,3.65,50000
Male,21,4.0,Offline,1.0,80.0,Bachelor,3.1,3.1,20000
Male,23,3.1540296924708375,Offline,2.0,90.0,Bachelor,3.22,3.47,13500
Female,22,3.0,Offline,4.0,70.0,Family,3.52,3.77,25000
Female,20,3.1540296924708375,Offline,3.4722805176635183,85.0,Family,3.24,3.32,80000
Male,23,5.0,Offline,1.0,90.0,Bachelor,3.94,3.95,25000
Female,22,4.5,Online,7.5,80.0,Family,2.5,2.85,65000
Female,21,3.0,Offline,3.0,88.33627450980393,Bachelor,2.65,2.85,35000
Male,20,1.0,Online,6.0,80.0,Family,2.91,2.91,25000
Male,26,3.1540296924708375,Offline,3.4722805176635183,100.0,Bachelor,3.22,2.83,25000
Male,21,2.0,Offline,1.0,100.0,Family,3.67,3.48,207239
Female,21,5.0,Offline,2.0,99.0,Bachelor,4.0,4.0,30000
Male,21,0.16666666666666666,Offline,4.0,95.0,Family,3.92,3.92,35000
Male,23,6.0,Online,6.0,90.0,Bachelor,3.02,3.05,40000
Female,21,13.5,Online,1.0,100.0,Family,3.77,3.69,5000
Male,21,3.1540296924708375,Offline,3.4722805176635183,96.0,Family,3.89,3.7,85
Female,25,4.0,Offline,1.0,90.0,Family,3.06,2.86,40000
Male,21,1.0,Online,4.0,57.0,Family,3.66,3.01,45000
Female,22,3.0,Offline,3.0,100.0,Bachelor,2.15,2.54,25000
Male,24,1.0,Online,1.0,85.0,Family,3.39,3.29,40000
Female,22,3.1540296924708375,Offline,2.0,95.0,Family,3.78,3.54,60000
Male,25,6.0,Online,4.0,90.0,Family,3.51,3.51,100000
Male,22,3.1540296924708375,Offline,2.0,60.0,Bachelor,2.92,2.9,0
Female,21,5.0,Offline,3.0,90.0,Bachelor,2.13,2.45,40000
Male,22,2.0,Offline,2.0,80.0,Bachelor,3.4,2.8,35000
Female,20,3.0,Offline,2.0,98.0,Family,2.760508706467662,3.201095977596741,30000
Female,21,3.1540296924708375,Offline,1.0,80.0,Family,3.4,3.5,40000
Male,20,1.5,Offline,1.0,100.0,Family,2.59,3.01,40000
Female,21,2.0,Offline,3.4722805176635183,97.0,Family,3.78,3.77,15000
Male,20,2.0,Online,10.0,95.0,Family,1.75,3.201095977596741,30000
Male,22,0.0,Offline,2.0,100.0,Bachelor,3.4,3.65,50
Female,21,7.0,Offline,3.0,99.0,Bachelor,1.52,1.64,60000
Female,22,2.0,Offline,4.0,90.0,Family,3.66,3.37,60000
Male,20,1.0,Offline,2.0,90.0,Bachelor,3.5,3.12,25000
Female,23,3.1540296924708375,Offline,4.0,70.0,Family,3.59,3.55,50000
Male,20,4.0,Offline,3.0,100.0,Bachelor,3.03,3.03,7000
Male,23,3.1540296924708375,Offline,2.0,90.0,Bachelor,3.94,3.9,20000
Male,21,3.0,Offline,2.0,95.0,Family,4.0,3.201095977596741,40000
Female,22,3.0,Offline,4.0,97.0,Family,3.49,3.44,45000
Female,21,1.0,Online,1.0,90.0,Family,3.0,3.1,30000
Male,24,3.0,Online,0.3333333333333333,90.0,Family,3.45,3.34,19000
Male,20,2.0,Offline,4.0,90.0,Family,3.58,3.5,50000
Female,21,4.0,Online,3.0,80.0,Family,2.96,2.61,100000
Female,21,2.0,Offline,2.0,90.0,Bachelor,3.38,3.53,40000
Female,20,2.0,Offline,3.0,95.0,Bachelor,3.12,3.07,50000
Male,24,3.0,Online,1.0,98.0,Bachelor,2.86,2.88,30
Female,20,4.0,Offline,1.0,90.0,Family,3.1,3.27,45000
Male,23,1.0,Offline,1.0,95.0,Family,3.92,3.92,20000
Male,24,3.0,Offline,5.0,95.0,Family,2.76,2.64,25000
Female,22,1.0,Offline,6.0,70.0,Bachelor,3.52,3.78,207239
Male,23,3.1540296924708375,Offline,1.0,90.0,Bachelor,4.0,3.9,25000
Male,23,3.1540296924708375,Offline,3.4722805176635183,90.0,Family,3.84,3.78,0
Female,22,1.0,Offline,6.0,86.0,Family,3.44,3.46,300000
Male,21,3.0,Online,1.0,99.0,Bachelor,2.760508706467662,3.201095977596741,207239
Male,21,4.0,Offline,2.0,100.0,Bachelor,2.98,0.0,30000
Male,20,3.1540296924708375,Offline,6.0,100.0,Bachelor,3.43,3.201095977596741,25000
Male,21,9.0,Offline,3.0,90.0,Bachelor,3.98,3.98,40000
Female,26,2.0,Offline,2.0,90.0,Family,3.08,3.15,50000
Female,22,2.0,Online,2.0,100.0,Family,3.1,3.16,20000
Male,19,3.0,Offline,1.0,95.0,Family,2.37,2.46,50000
Male,20,4.0,Offline,2.0,85.0,Bachelor,5.0,3.201095977596741,30000
Male,21,1.5,Offline,2.0,90.0,Bachelor,3.58,3.58,40000
Male,22,4.0,Offline,3.4722805176635183,100.0,Bachelor,3.36,3.47,80
Female,18,3.1540296924708375,Offline,3.4722805176635183,95.0,Family,2.760508706467662,3.201095977596741,150000
Female,20,2.0,Online,1.0,95.0,Family,2.760508706467662,3.201095977596741,45000
Male,19,3.0,Offline,2.0,100.0,Bachelor,0.0,0.0,20000
Male,22,3.0,Offline,3.0,90.0,Bachelor,2.9,2.19,60000
Male,20,4.0,Offline,3.0,90.0,Bachelor,3.32,3.25,30000
Male,22,6.0,Offline,2.0,0.0,Bachelor,3.3,3.15,36000
Male,23,4.0,Offline,3.0,95.0,Bachelor,3.92,3.78,30000
Female,25,1.0,Online,12.0,80.0,Family,2.8,2.5,20000
Male,21,4.0,Online,3.4722805176635183,98.0,Bachelor,3.33,2.9,17500
Male,22,3.0,Offline,3.4722805176635183,87.0,Bachelor,3.54,3.4,30000
Male,23,5.0,Offline,2.0,98.0,Bachelor,3.66,3.81,38000
Male,24,2.0,Offline,2.0,80.0,Bachelor,3.78,3.13,15000
Male,21,5.0,Offline,3.0,99.0,Family,3.82,3.81,15000
Female,23,3.1540296924708375,Offline,1.0,95.0,Bachelor,4.0,3.93,50000
Male,19,4.0,Offline,3.4722805176635183,80.0,Bachelor,3.54,3.54,20000
Male,21,4.0,Offline,2.0,95.0,Bachelor,2.55,2.55,20000
Male,25,3.1540296924708375,Offline,3.4722805176635183,90.0,Bachelor,2.760508706467662,3.4,10970
Female,22,3.0,Online,5.0,90.0,Bachelor,3.65,3.59,30000
Female,21,3.1540296924708375,Offline,4.0,100.0,Family,3.62,3.62,30
Male,20,2.0,Offline,1.0,90.0,Family,3.7,3.45,30000
Female,21,3.1540296924708375,Online,2.0,95.0,Family,3.5,3.5,55000
Male,21,5.0,Online,3.0,100.0,Family,3.48,3.48,50000
Male,22,3.1540296924708375,Offline,3.4722805176635183,100.0,Bachelor,3.01,2.92,50000
Male,25,4.0,Offline,3.0,100.0,Family,3.86,3.56,60000
Male,23,4.0,Online,10.0,98.0,Family,3.38,3.81,15000
Female,22,5.0,Offline,2.0,90.0,Family,3.07,3.42,500000
Female,23,3.0,Offline,4.0,96.0,Family,3.59,3.56,10
Male,25,2.0,Offline,6.0,90.0,Bachelor,2.59,3.06,50000
Male,23,2.0,Offline,2.0,99.0,Bachelor,3.3,3.24,15000
Female,22,4.0,Offline,10.0,99.0,Family,3.72,3.78,207239
Male,19,3.0,Offline,2.0,100.0,Family,3.9,3.9,40000
Male,23,2.0,Offline,5.0,75.0,Bachelor,2.55,2.65,20000
Male,20,4.0,Offline,2.0,85.0,Bachelor,3.0,2.8,20000
Male,22,4.0,Online,2.0,80.0,Bachelor,2.0,2.59,25000
Female,22,3.1540296924708375,Offline,2.0,95.0,Bachelor,3.96,3.9,200000
Male,20,2.0,Offline,1.0,80.0,Bachelor,3.7,3.7,25000
Male,19,5.0,Online,7.0,90.0,Family,3.3,3.201095977596741,35000
Male,22,3.0,Offline,2.0,95.0,Bachelor,3.2,3.51,1
Male,21,5.0,Offline,3.0,90.0,Family,3.57,3.67,35000
Female,22,3.0,Offline,1.0,100.0,Family,3.37,3.11,40000
Male,21,3.1540296924708375,Offline,1.0,97.0,Bachelor,3.17,2.85,30000
Male,19,1.0,Offline,1.0,90.0,Bachelor,3.5,3.45,10000
Male,20,3.1540296924708375,Offline,1.0,90.0,Bachelor,3.78,3.78,25000
Male,25,2.0,Offline,1.0,100.0,Bachelor,3.9,3.59,40000
Male,21,4.0,Offline,4.0,50.0,Family,2.94,2.5,0
Female,21,3.0,Offline,5.5,80.0,Family,2.89,2.8,20000
Female,22,4.0,Offline,2.0,90.0,Bachelor,1.8,2.56,20000
Female,22,4.0,Online,3.0,85.0,Bachelor,2.78,3.75,30000
Female,20,1.0,Offline,2.0,100.0,Family,1.45,2.38,30000
Female,25,5.0,Online,2.0,100.0,Bachelor,2.45,3.54,34000
Male,23,6.0,Offline,4.0,80.0,Family,1.45,2.45,35000
Female,20,3.0,Offline,7.0,100.0,Family,2.0,3.19,35000
Male,24,1.0,Offline,8.0,100.0,Bachelor,2.89,3.99,36000
Female,20,2.0,Offline,8.0,70.0,Bachelor,2.88,3.75,36000
Male,20,3.0,Offline,7.0,60.0,Bachelor,1.87,2.98,37000
Male,20,1.0,Offline,3.0,54.0,Family,2.44,3.53,39000
Female,22,4.0,Offline,2.0,90.0,Family,2.8,3.65,40000
Male,21,5.0,Online,2.0,100.0,Family,2.11,3.47,40000
Male,22,4.0,Offline,3.0,87.0,Bachelor,2.37,3.49,41000
Male,23,3.0,Offline,3.0,87.0,Family,2.75,3.8,44000
Female,21,3.0,Online,4.0,100.0,Bachelor,1.98,2.91,44000
Female,20,2.0,Online,3.0,100.0,Family,2.64,3.7,44000
Male,22,5.0,Online,11.0,77.0,Bachelor,1.77,2.66,45000
Female,21,5.0,Offline,7.0,95.0,Family,2.19,2.77,45000
Male,22,5.0,Online,7.0,70.0,Bachelor,2.19,3.19,45000
Female,20,3.0,Online,9.0,86.0,Bachelor,1.98,2.98,45000
Female,20,4.0,Offline,2.0,78.0,Family,1.83,2.9,45000
Female,21,3.0,Online,9.0,100.0,Bachelor,1.87,2.82,46000
Female,25,1.0,Online,3.0,68.0,Bachelor,2.65,3.71,49000
Female,23,6.0,Offline,4.0,90.0,Family,2.19,3.45,50000
Male,24,3.0,Offline,4.0,100.0,Family,2.5,3.4,50000
Male,25,2.0,Offline,3.0,100.0,Bachelor,2.82,3.85,50000
Female,22,2.0,Online,2.0,50.0,Bachelor,1.34,2.68,50000
Female,19,1.0,Offline,4.0,78.0,Bachelor,2.68,3.79,50000
Female,22,2.0,Online,1.0,80.0,Family,1.97,2.98,52000
Female,20,5.0,Offline,3.0,100.0,Family,2.76,3.86,52000
Female,25,4.0,Offline,7.0,45.0,Family,1.72,2.79,54000
Male,21,2.0,Offline,2.0,100.0,Bachelor,2.62,3.75,55000
Female,20,2.0,Offline,2.0,87.0,Bachelor,1.51,2.59,55000
Female,22,2.0,Offline,2.0,95.0,Bachelor,1.45,2.53,55000
Male,21,2.0,Offline,4.0,100.0,Bachelor,2.16,3.24,57000
Male,21,2.0,Offline,2.0,100.0,Family,2.56,3.62,58000
Male,21,1.0,Offline,7.0,100.0,Bachelor,1.97,3.1,59000
Female,23,2.0,Offline,3.0,90.0,Family,2.33,3.31,60000
Female,20,2.0,Offline,3.0,100.0,Bachelor,1.6,2.68,60000
Male,20,4.0,Offline,6.0,80.0,Bachelor,2.11,3.22,60000
Female,20,3.0,Online,7.0,100.0,Bachelor,1.19,2.16,60000
Male,21,4.0,Online,5.0,100.0,Bachelor,2.65,3.78,61000
Male,20,2.0,Offline,2.0,100.0,Bachelor,2.67,3.7,61000
Male,24,3.0,Online,3.0,46.0,Family,2.44,3.51,64000
Male,24,3.0,Offline,3.0,75.0,Bachelor,1.65,2.68,65000
Male,20,2.0,Online,2.0,100.0,Family,2.5,3.61,65000
Female,20,4.0,Online,8.0,100.0,Family,2.07,3.39,66000
Female,20,4.0,Online,6.0,100.0,Family,1.77,2.64,66000
Male,20,3.0,Offline,5.0,90.0,Bachelor,2.11,3.21,66000
Female,21,2.0,Offline,2.0,46.0,Bachelor,2.33,3.41,66000
Female,20,3.0,Offline,3.0,100.0,Bachelor,2.77,3.84,66000
Male,21,5.0,Offline,2.0,100.0,Family,2.87,3.98,67000
Male,22,4.0,Online,7.0,100.0,Bachelor,2.19,3.43,68000
Male,22,2.0,Offline,8.0,100.0,Family,2.11,3.39,68000
Male,25,1.0,Offline,2.0,51.0,Bachelor,2.51,3.57,68000
Male,22,3.0,Online,3.0,100.0,Bachelor,2.22,3.38,68000
Female,20,2.0,Offline,2.0,34.0,Bachelor,1.86,2.91,68000
Female,22,1.0,Offline,8.0,50.0,Family,1.87,2.95,68000
Female,21,5.0,Online,3.0,87.0,Bachelor,2.88,3.91,68000
Female,23,3.0,Online,6.0,99.0,Family,1.91,3.201095977596741,70000
Female,20,3.0,Online,2.0,100.0,Family,1.81,2.9,70000
Male,20,2.0,Offline,2.0,56.0,Family,1.72,2.8,70000
Female,20,1.0,Offline,3.0,76.0,Bachelor,1.56,2.63,70000
Female,24,1.0,Offline,4.0,100.0,Family,2.23,3.39,70000
Female,21,2.0,Offline,3.0,100.0,Bachelor,2.67,3.74,70000
Female,19,4.0,Online,4.0,63.0,Bachelor,1.65,2.87,70000
Female,20,2.0,Online,6.0,90.0,Family,2.44,3.88,71000
Male,20,4.0,Offline,3.0,68.0,Family,1.56,2.63,74000
Female,21,6.0,Offline,4.0,80.0,Bachelor,2.21,3.21,75000
Male,20,1.0,Offline,3.0,100.0,Bachelor,2.61,3.68,75000
Female,24,3.0,Offline,2.0,100.0,Bachelor,2.41,3.5,76000
Male,20,4.0,Offline,2.0,100.0,Bachelor,2.73,3.8,76000
Male,22,2.0,Offline,2.0,100.0,Family,2.87,3.93,76000
Male,20,3.0,Online,3.0,100.0,Bachelor,1.56,2.66,76000
Male,25,3.0,Online,8.0,100.0,Bachelor,2.87,3.98,77000
Male,23,3.0,Online,7.0,89.0,Bachelor,1.79,2.85,77000
Male,21,7.0,Online,3.0,100.0,Family,2.88,3.93,77000
Female,22,4.0,Offline,2.0,100.0,Bachelor,2.78,3.84,77000
Female,22,1.0,Online,4.0,98.0,Family,2.36,3.19,77000
Female,21,3.0,Offline,4.0,100.0,Family,2.03,3.15,78000
Female,25,5.0,Offline,1.0,78.0,Bachelor,2.83,3.9,79000
Female,20,5.0,Offline,4.0,100.0,Family,2.44,3.78,79000
Male,20,5.0,Offline,5.0,50.0,Family,1.66,2.99,79000
Male,21,6.0,Offline,3.0,80.0,Family,2.54,3.76,80000
Female,22,2.0,Online,4.0,99.0,Family,2.79,3.59,80000
Male,20,2.0,Offline,6.0,77.0,Bachelor,1.55,2.67,80000
Male,21,4.0,Offline,2.0,100.0,Family,1.25,2.57,80000
Female,20,4.0,Offline,2.0,100.0,Bachelor,2.56,3.61,80000
Male,20,3.0,Offline,3.0,100.0,Family,2.64,3.7,81000
Male,20,4.0,Offline,7.0,78.0,Family,1.45,2.67,82000
Male,21,3.0,Offline,3.0,70.0,Bachelor,1.56,2.87,85000
Female,21,6.0,Offline,5.0,70.0,Family,2.1,3.37,85000
Female,20,2.0,Online,3.0,60.0,Family,2.1,3.28,85000
Female,20,2.0,Online,2.0,100.0,Family,1.54,2.64,86000
Male,24,1.0,Offline,2.0,80.0,Family,2.39,3.43,87000
Female,21,4.0,Online,2.0,80.0,Family,2.51,3.87,87000
Male,21,2.0,Offline,1.0,79.0,Bachelor,2.81,3.89,87000
Female,20,2.0,Offline,2.0,88.0,Bachelor,2.45,3.54,88000
Male,20,3.0,Offline,3.0,100.0,Family,2.66,3.72,88000
Female,21,6.0,Offline,4.0,80.0,Family,2.04,3.23,89000
Male,21,4.0,Online,6.0,100.0,Bachelor,2.29,3.56,89000
Male,20,4.0,Offline,7.0,88.0,Family,2.55,3.77,89000
Male,22,4.0,Offline,2.0,100.0,Bachelor,2.9,3.89,90000
Male,25,3.0,Offline,3.0,100.0,Bachelor,2.34,3.42,90000
Male,21,4.0,Online,4.0,100.0,Family,2.08,3.11,90000
Female,20,3.0,Online,10.0,100.0,Family,2.51,3.5,90000
Female,21,3.0,Online,8.0,100.0,Family,2.13,3.33,90000
Male,25,2.0,Offline,2.0,35.0,Bachelor,1.43,2.56,91000
Female,20,2.0,Offline,3.0,100.0,Family,1.26,2.33,93000
Female,20,2.0,Offline,3.0,56.0,Bachelor,1.56,2.6,95000
Male,23,2.0,Offline,1.0,100.0,Bachelor,1.75,2.81,98000
Male,25,2.0,Offline,7.0,100.0,Family,1.76,2.87,100000
Male,21,6.0,Online,4.0,100.0,Bachelor,1.34,2.53,100000
Male,21,5.0,Offline,4.0,100.0,Bachelor,2.91,3.95,100000
Male,22,2.0,Online,2.0,45.0,Family,2.46,3.52,100000
Female,20,3.0,Offline,7.0,70.0,Bachelor,1.67,2.98,100000
Female,20,2.0,Offline,2.0,100.0,Family,2.66,4.0,100000
Male,24,1.0,Online,3.0,65.0,Family,2.65,3.68,110000
Male,20,2.0,Offline,5.0,100.0,Family,2.8,3.91,110000
Female,20,5.0,Offline,6.0,100.0,Family,1.46,2.67,110000
Female,21,2.0,Offline,2.0,89.0,Bachelor,1.67,2.73,110000
